Node_index        Node_State            Parent_Node_index 
    156             [0 4 7 1 2 8 3 5 6]             58
    157             [4 2 7 1 0 8 3 5 6]             58
    158             [0 4 7 1 2 8 3 5 6]             59
    159             [1 4 7 2 0 8 3 5 6]             59
    160             [1 4 7 3 2 8 0 5 6]             59
    161             [0 4 7 1 2 8 3 5 6]             60
    162             [1 4 7 2 0 8 3 5 6]             60
    163             [1 4 7 3 2 8 0 5 6]             60
    164             [0 1 7 2 4 8 3 5 6]             61
    165             [1 7 0 2 4 8 3 5 6]             61
    166             [1 4 7 2 0 8 3 5 6]             61
    167             [1 4 7 2 0 8 3 5 6]             62
    168             [1 4 0 2 8 7 3 5 6]             62
    169             [1 4 7 2 8 6 3 5 0]             62
    170             [1 4 7 2 5 8 0 3 6]             63
    171             [1 4 7 2 0 8 3 5 6]             63
    172             [1 4 7 2 5 8 3 6 0]             63
    173             [0 4 7 1 2 8 3 5 6]             64
    174             [1 4 7 2 0 8 3 5 6]             64
    175             [1 4 7 3 2 8 0 5 6]             64
    176             [1 4 7 3 2 8 0 5 6]             65
    177             [1 4 7 3 0 8 5 2 6]             65
    178             [1 4 7 3 2 8 5 6 0]             65
    179             [0 2 7 4 1 8 3 5 6]             66
    180             [2 7 0 4 1 8 3 5 6]             66
    181             [2 1 7 4 0 8 3 5 6]             66
    182             [0 2 7 4 1 8 3 5 6]             67
    183             [4 2 7 1 0 8 3 5 6]             67
    184             [4 2 7 3 1 8 0 5 6]             67
    185             [0 2 7 4 1 8 3 5 6]             68
    186             [4 2 7 1 0 8 3 5 6]             68
    187             [4 2 7 3 1 8 0 5 6]             68
    188             [0 4 7 1 2 8 3 5 6]             69
    189             [4 2 7 1 0 8 3 5 6]             69
    190             [4 2 7 1 0 8 3 5 6]             70
    191             [4 2 0 1 8 7 3 5 6]             70
    192             [4 2 7 1 8 6 3 5 0]             70
    193             [4 2 7 1 5 8 0 3 6]             71
    194             [4 2 7 1 0 8 3 5 6]             71
    195             [4 2 7 1 5 8 3 6 0]             71
    196             [0 2 7 4 1 8 3 5 6]             72
    197             [4 2 7 1 0 8 3 5 6]             72
    198             [4 2 7 3 1 8 0 5 6]             72
    199             [4 2 7 3 1 8 0 5 6]             73
    200             [4 2 7 3 0 8 5 1 6]             73
    201             [4 2 7 3 1 8 5 6 0]             73
    202             [0 4 7 1 2 8 3 5 6]             74
    203             [4 2 7 1 0 8 3 5 6]             74
    204             [0 4 7 1 2 8 3 5 6]             75
    205             [1 4 7 2 0 8 3 5 6]             75
    206             [1 4 7 3 2 8 0 5 6]             75
    207             [0 2 7 4 1 8 3 5 6]             76
    208             [4 2 7 1 0 8 3 5 6]             76
    209             [4 2 7 3 1 8 0 5 6]             76
    210             [0 4 7 1 2 8 3 5 6]             77
    211             [4 2 7 1 0 8 3 5 6]             77
    212             [4 2 7 1 0 8 3 5 6]             78
    213             [4 2 0 1 8 7 3 5 6]             78
    214             [4 2 7 1 8 6 3 5 0]             78
    215             [4 2 7 1 5 8 0 3 6]             79
    216             [4 2 7 1 0 8 3 5 6]             79
    217             [4 2 7 1 5 8 3 6 0]             79
    218             [0 2 7 4 1 8 3 5 6]             80
    219             [4 2 7 1 0 8 3 5 6]             80
    220             [4 2 7 3 1 8 0 5 6]             80
    221             [0 4 7 1 2 8 3 5 6]             81
    222             [4 2 7 1 0 8 3 5 6]             81
    223             [4 2 7 1 0 8 3 5 6]             82
    224             [4 2 0 1 8 7 3 5 6]             82
    225             [4 2 7 1 8 6 3 5 0]             82
    226             [4 2 7 1 5 8 0 3 6]             83
    227             [4 2 7 1 0 8 3 5 6]             83
    228             [4 2 7 1 5 8 3 6 0]             83
    229             [0 4 2 1 8 7 3 5 6]             84
    230             [4 2 0 1 8 7 3 5 6]             84
    231             [4 8 2 1 0 7 3 5 6]             84
    232             [4 2 7 1 0 8 3 5 6]             85
    233             [4 2 0 1 8 7 3 5 6]             85
    234             [4 2 7 1 8 6 3 5 0]             85
    235             [4 2 7 1 8 6 0 3 5]             86
    236             [4 2 7 1 0 6 3 8 5]             86
    237             [4 2 7 1 8 6 3 5 0]             86
    238             [4 2 7 1 0 8 3 5 6]             87
    239             [4 2 0 1 8 7 3 5 6]             87
    240             [4 2 7 1 8 6 3 5 0]             87
    241             [0 2 7 4 5 8 1 3 6]             88
    242             [4 2 7 5 0 8 1 3 6]             88
    243             [4 2 7 1 5 8 0 3 6]             88
    244             [4 2 7 1 5 8 0 3 6]             89
    245             [4 2 7 1 0 8 3 5 6]             89
    246             [4 2 7 1 5 8 3 6 0]             89
    247             [0 2 7 4 1 8 3 5 6]             90
    248             [4 2 7 1 0 8 3 5 6]             90
    249             [4 2 7 3 1 8 0 5 6]             90
    250             [0 4 7 1 2 8 3 5 6]             91
    251             [4 2 7 1 0 8 3 5 6]             91
    252             [4 2 7 1 0 8 3 5 6]             92
    253             [4 2 0 1 8 7 3 5 6]             92
    254             [4 2 7 1 8 6 3 5 0]             92
    255             [4 2 7 1 5 8 0 3 6]             93
    256             [4 2 7 1 0 8 3 5 6]             93
    257             [4 2 7 1 5 8 3 6 0]             93
    258             [4 2 7 1 5 8 0 3 6]             94
    259             [4 2 7 1 0 8 3 5 6]             94
    260             [4 2 7 1 5 8 3 6 0]             94
    261             [4 2 7 1 0 5 3 6 8]             95
    262             [4 2 0 1 5 7 3 6 8]             95
    263             [4 2 7 1 5 8 3 6 0]             95
    264             [0 7 8 4 1 2 3 5 6]             96
    265             [7 8 0 4 1 2 3 5 6]             96
    266             [7 1 8 4 0 2 3 5 6]             96
    267             [0 7 8 4 1 2 3 5 6]             97
    268             [4 7 8 1 0 2 3 5 6]             97
    269             [4 7 8 3 1 2 0 5 6]             97
    270             [0 7 8 4 1 2 3 5 6]             98
    271             [4 7 8 1 0 2 3 5 6]             98
    272             [4 7 8 3 1 2 0 5 6]             98
    273             [0 4 8 1 7 2 3 5 6]             99
    274             [4 8 0 1 7 2 3 5 6]             99
    275             [4 7 8 1 0 2 3 5 6]             99
    276             [4 7 8 1 0 2 3 5 6]             100
    277             [4 7 8 1 2 6 3 5 0]             100
    278             [4 7 8 1 5 2 0 3 6]             101
    279             [4 7 8 1 0 2 3 5 6]             101
    280             [4 7 8 1 5 2 3 6 0]             101
    281             [0 7 8 4 1 2 3 5 6]             102
    282             [4 7 8 1 0 2 3 5 6]             102
    283             [4 7 8 3 1 2 0 5 6]             102
    284             [4 7 8 3 1 2 0 5 6]             103
    285             [4 7 8 3 0 2 5 1 6]             103
    286             [4 7 8 3 1 2 5 6 0]             103
    287             [0 4 8 1 7 2 3 5 6]             104
    288             [4 8 0 1 7 2 3 5 6]             104
    289             [4 7 8 1 0 2 3 5 6]             104
    290             [0 4 8 1 7 2 3 5 6]             105
    291             [1 4 8 7 0 2 3 5 6]             105
    292             [1 4 8 3 7 2 0 5 6]             105
    293             [0 4 8 1 7 2 3 5 6]             106
    294             [4 8 0 1 7 2 3 5 6]             106
    295             [4 7 8 1 0 2 3 5 6]             106
    296             [4 8 2 1 0 7 3 5 6]             107
    297             [4 8 0 1 7 2 3 5 6]             107
    298             [4 8 2 1 7 6 3 5 0]             107
    299             [0 7 8 4 1 2 3 5 6]             108
    300             [4 7 8 1 0 2 3 5 6]             108
    301             [4 7 8 3 1 2 0 5 6]             108
    302             [0 4 8 1 7 2 3 5 6]             109
    303             [4 8 0 1 7 2 3 5 6]             109
    304             [4 7 8 1 0 2 3 5 6]             109
    305             [4 7 8 1 0 2 3 5 6]             110
    306             [4 7 8 1 2 6 3 5 0]             110
    307             [4 7 8 1 5 2 0 3 6]             111
    308             [4 7 8 1 0 2 3 5 6]             111
    309             [4 7 8 1 5 2 3 6 0]             111
    310             [0 7 8 4 1 2 3 5 6]             112
    311             [4 7 8 1 0 2 3 5 6]             112
    312             [4 7 8 3 1 2 0 5 6]             112
    313             [0 4 8 1 7 2 3 5 6]             113
    314             [4 8 0 1 7 2 3 5 6]             113
    315             [4 7 8 1 0 2 3 5 6]             113
    316             [4 7 8 1 0 2 3 5 6]             114
    317             [4 7 8 1 2 6 3 5 0]             114
    318             [4 7 8 1 5 2 0 3 6]             115
    319             [4 7 8 1 0 2 3 5 6]             115
    320             [4 7 8 1 5 2 3 6 0]             115
    321             [4 7 8 1 2 6 0 3 5]             116
    322             [4 7 8 1 0 6 3 2 5]             116
    323             [4 7 8 1 2 6 3 5 0]             116
    324             [4 7 8 1 0 2 3 5 6]             117
    325             [4 7 8 1 2 6 3 5 0]             117
    326             [0 7 8 4 5 2 1 3 6]             118
    327             [4 7 8 5 0 2 1 3 6]             118
    328             [4 7 8 1 5 2 0 3 6]             118
    329             [4 7 8 1 5 2 0 3 6]             119
    330             [4 7 8 1 0 2 3 5 6]             119
    331             [4 7 8 1 5 2 3 6 0]             119
    332             [0 7 8 4 1 2 3 5 6]             120
    333             [4 7 8 1 0 2 3 5 6]             120
    334             [4 7 8 3 1 2 0 5 6]             120
    335             [0 4 8 1 7 2 3 5 6]             121
    336             [4 8 0 1 7 2 3 5 6]             121
    337             [4 7 8 1 0 2 3 5 6]             121
    338             [4 7 8 1 0 2 3 5 6]             122
    339             [4 7 8 1 2 6 3 5 0]             122
    340             [4 7 8 1 5 2 0 3 6]             123
    341             [4 7 8 1 0 2 3 5 6]             123
    342             [4 7 8 1 5 2 3 6 0]             123
    343             [4 7 8 1 5 2 0 3 6]             124
    344             [4 7 8 1 0 2 3 5 6]             124
    345             [4 7 8 1 5 2 3 6 0]             124
    346             [4 7 8 1 0 5 3 6 2]             125
    347             [4 7 0 1 5 8 3 6 2]             125
    348             [4 7 8 1 5 2 3 6 0]             125
    349             [0 7 8 4 2 6 1 3 5]             126
    350             [4 7 8 2 0 6 1 3 5]             126
    351             [4 7 8 1 2 6 0 3 5]             126
    352             [4 7 8 1 2 6 0 3 5]             127
    353             [4 7 8 1 0 6 3 2 5]             127
    354             [4 7 8 1 2 6 3 5 0]             127
    355             [0 7 8 4 1 6 3 2 5]             128
    356             [4 7 8 1 0 6 3 2 5]             128
    357             [4 7 8 3 1 6 0 2 5]             128
    358             [0 4 8 1 7 6 3 2 5]             129
    359             [4 8 0 1 7 6 3 2 5]             129
    360             [4 7 8 1 0 6 3 2 5]             129
    361             [4 7 8 1 0 6 3 2 5]             130
    362             [4 7 0 1 6 8 3 2 5]             130
    363             [4 7 8 1 6 5 3 2 0]             130
    364             [4 7 8 1 2 6 0 3 5]             131
    365             [4 7 8 1 0 6 3 2 5]             131
    366             [4 7 8 1 2 6 3 5 0]             131
    367             [4 7 8 1 2 6 0 3 5]             132
    368             [4 7 8 1 0 6 3 2 5]             132
    369             [4 7 8 1 2 6 3 5 0]             132
    370             [4 7 8 1 0 2 3 5 6]             133
    371             [4 7 8 1 2 6 3 5 0]             133
    372             [0 7 8 4 1 2 3 5 6]             134
    373             [4 7 8 1 0 2 3 5 6]             134
    374             [4 7 8 3 1 2 0 5 6]             134
    375             [0 4 8 1 7 2 3 5 6]             135
    376             [4 8 0 1 7 2 3 5 6]             135
    377             [4 7 8 1 0 2 3 5 6]             135
    378             [4 7 8 1 0 2 3 5 6]             136
    379             [4 7 8 1 2 6 3 5 0]             136
    380             [4 7 8 1 5 2 0 3 6]             137
    381             [4 7 8 1 0 2 3 5 6]             137
    382             [4 7 8 1 5 2 3 6 0]             137
    383             [4 7 8 1 2 6 0 3 5]             138
    384             [4 7 8 1 0 6 3 2 5]             138
    385             [4 7 8 1 2 6 3 5 0]             138
    386             [4 7 8 1 0 2 3 5 6]             139
    387             [4 7 8 1 2 6 3 5 0]             139
    388             [4 0 7 1 2 8 3 5 6]             140
    389             [1 4 7 0 2 8 3 5 6]             140
    390             [4 2 7 0 1 8 3 5 6]             141
    391             [4 0 7 1 2 8 3 5 6]             141
    392             [4 2 7 1 8 0 3 5 6]             141
    393             [4 2 7 1 5 8 3 0 6]             141
    394             [4 0 7 1 2 8 3 5 6]             142
    395             [1 4 7 0 2 8 3 5 6]             142
    396             [1 4 7 0 2 8 3 5 6]             143
    397             [1 0 7 2 4 8 3 5 6]             143
    398             [1 4 7 2 8 0 3 5 6]             143
    399             [1 4 7 2 5 8 3 0 6]             143
    400             [1 4 7 0 2 8 3 5 6]             144
    401             [1 4 7 3 2 8 5 0 6]             144
    402             [2 0 7 4 1 8 3 5 6]             145
    403             [4 2 7 0 1 8 3 5 6]             145
    404             [4 2 7 0 1 8 3 5 6]             146
    405             [4 0 7 1 2 8 3 5 6]             146
    406             [4 2 7 1 8 0 3 5 6]             146
    407             [4 2 7 1 5 8 3 0 6]             146
    408             [4 2 7 0 1 8 3 5 6]             147
    409             [4 2 7 3 1 8 5 0 6]             147
    410             [4 0 7 1 2 8 3 5 6]             148
    411             [1 4 7 0 2 8 3 5 6]             148
    412             [4 2 7 0 1 8 3 5 6]             149
    413             [4 0 7 1 2 8 3 5 6]             149
    414             [4 2 7 1 8 0 3 5 6]             149
    415             [4 2 7 1 5 8 3 0 6]             149
    416             [4 2 7 0 1 8 3 5 6]             150
    417             [4 0 7 1 2 8 3 5 6]             150
    418             [4 2 7 1 8 0 3 5 6]             150
    419             [4 2 7 1 5 8 3 0 6]             150
    420             [4 0 2 1 8 7 3 5 6]             151
    421             [4 2 7 1 8 0 3 5 6]             151
    422             [4 2 7 1 8 6 3 0 5]             152
    423             [4 2 7 1 8 0 3 5 6]             152
    424             [4 2 7 0 5 8 1 3 6]             153
    425             [4 2 7 1 5 8 3 0 6]             153
    426             [4 2 7 0 1 8 3 5 6]             154
    427             [4 0 7 1 2 8 3 5 6]             154
    428             [4 2 7 1 8 0 3 5 6]             154
    429             [4 2 7 1 5 8 3 0 6]             154
    430             [4 2 7 1 5 8 3 0 6]             155
    431             [4 2 7 1 5 0 3 6 8]             155
    432             [4 0 7 1 2 8 3 5 6]             156
    433             [1 4 7 0 2 8 3 5 6]             156
    434             [4 2 7 0 1 8 3 5 6]             157
    435             [4 0 7 1 2 8 3 5 6]             157
    436             [4 2 7 1 8 0 3 5 6]             157
    437             [4 2 7 1 5 8 3 0 6]             157
    438             [4 0 7 1 2 8 3 5 6]             158
    439             [1 4 7 0 2 8 3 5 6]             158
    440             [1 4 7 0 2 8 3 5 6]             159
    441             [1 0 7 2 4 8 3 5 6]             159
    442             [1 4 7 2 8 0 3 5 6]             159
    443             [1 4 7 2 5 8 3 0 6]             159
    444             [1 4 7 0 2 8 3 5 6]             160
    445             [1 4 7 3 2 8 5 0 6]             160
    446             [4 0 7 1 2 8 3 5 6]             161
    447             [1 4 7 0 2 8 3 5 6]             161
    448             [1 4 7 0 2 8 3 5 6]             162
    449             [1 0 7 2 4 8 3 5 6]             162
    450             [1 4 7 2 8 0 3 5 6]             162
    451             [1 4 7 2 5 8 3 0 6]             162
    452             [1 4 7 0 2 8 3 5 6]             163
    453             [1 4 7 3 2 8 5 0 6]             163
    454             [1 0 7 2 4 8 3 5 6]             164
    455             [2 1 7 0 4 8 3 5 6]             164
    456             [1 0 7 2 4 8 3 5 6]             165
    457             [1 7 8 2 4 0 3 5 6]             165
    458             [1 4 7 0 2 8 3 5 6]             166
    459             [1 0 7 2 4 8 3 5 6]             166
    460             [1 4 7 2 8 0 3 5 6]             166
    461             [1 4 7 2 5 8 3 0 6]             166
    462             [1 4 7 0 2 8 3 5 6]             167
    463             [1 0 7 2 4 8 3 5 6]             167
    464             [1 4 7 2 8 0 3 5 6]             167
    465             [1 4 7 2 5 8 3 0 6]             167
    466             [1 0 4 2 8 7 3 5 6]             168
    467             [1 4 7 2 8 0 3 5 6]             168
    468             [1 4 7 2 8 6 3 0 5]             169
    469             [1 4 7 2 8 0 3 5 6]             169
    470             [1 4 7 0 5 8 2 3 6]             170
    471             [1 4 7 2 5 8 3 0 6]             170
    472             [1 4 7 0 2 8 3 5 6]             171
    473             [1 0 7 2 4 8 3 5 6]             171
    474             [1 4 7 2 8 0 3 5 6]             171
    475             [1 4 7 2 5 8 3 0 6]             171
    476             [1 4 7 2 5 8 3 6 0]             171
